date,demand
2024-01-01,87
2024-01-02,119
2024-01-03,82
2024-01-04,113
2024-01-05,101
2024-01-06,68
2024-01-07,96
2024-01-08,102
2024-01-09,125
2024-01-10,119
2024-01-11,108
2024-01-12,102
2024-01-13,67
2024-01-14,72
2024-01-15,110
2024-01-16,119
2024-01-17,125
2024-01-18,105
2024-01-19,106
2024-01-20,62
2024-01-21,60
2024-01-22,113
2024-01-23,100
2024-01-24,122
2024-01-25,107
2024-01-26,98
2024-01-27,64
2024-01-28,47
2024-01-29,119
2024-01-30,133
2024-01-31,132
2024-02-01,151
2024-02-02,121
2024-02-03,71
2024-02-04,74
2024-02-05,127
2024-02-06,157
2024-02-07,97
2024-02-08,132
2024-02-09,138
2024-02-10,84
2024-02-11,71
2024-02-12,115
2024-02-13,121
2024-02-14,136
2024-02-15,113
2024-02-16,106
2024-02-17,94
2024-02-18,73
2024-02-19,119
2024-02-20,121
2024-02-21,136
2024-02-22,150
2024-02-23,126
2024-02-24,98
2024-02-25,68
2024-02-26,65
2024-02-27,145
2024-02-28,164
2024-02-29,140
2024-03-01,149
2024-03-02,81
2024-03-03,52
2024-03-04,97
2024-03-05,96
2024-03-06,131
2024-03-07,107
2024-03-08,101
2024-03-09,96
2024-03-10,92
2024-03-11,130
2024-03-12,154
2024-03-13,120
2024-03-14,101
2024-03-15,121
2024-03-16,89
2024-03-17,59
2024-03-18,100
2024-03-19,106
2024-03-20,102
2024-03-21,107
2024-03-22,74
2024-03-23,49
2024-03-24,47
2024-03-25,85
2024-03-26,79
2024-03-27,108
2024-03-28,72
2024-03-29,77
2024-03-30,58
2024-03-31,52
2024-04-01,112
2024-04-02,89
2024-04-03,90
2024-04-04,95
2024-04-05,117
2024-04-06,83
2024-04-07,83
2024-04-08,120
2024-04-09,103
2024-04-10,80
2024-04-11,95
2024-04-12,99
2024-04-13,58
2024-04-14,41
2024-04-15,87
2024-04-16,108
2024-04-17,85
2024-04-18,79
2024-04-19,94
2024-04-20,23
2024-04-21,32
2024-04-22,82
2024-04-23,98
2024-04-24,80
2024-04-25,111
2024-04-26,76
2024-04-27,66
2024-04-28,46
2024-04-29,56
2024-04-30,119
2024-05-01,97
2024-05-02,87
2024-05-03,83
2024-05-04,54
2024-05-05,54
2024-05-06,81
2024-05-07,112
2024-05-08,84
2024-05-09,95
2024-05-10,106
2024-05-11,72
2024-05-12,39
2024-05-13,93
2024-05-14,89
2024-05-15,80
2024-05-16,71
2024-05-17,94
2024-05-18,42
2024-05-19,40
2024-05-20,95
2024-05-21,89
2024-05-22,113
2024-05-23,80
2024-05-24,66
2024-05-25,46
2024-05-26,39
2024-05-27,98
2024-05-28,100
