date,demand
2024-01-01,32
2024-01-02,35
2024-01-03,24
2024-01-04,27
2024-01-05,19
2024-01-06,21
2024-01-07,26
2024-01-08,16
2024-01-09,29
2024-01-10,21
2024-01-11,26
2024-01-12,25
2024-01-13,26
2024-01-14,15
2024-01-15,16
2024-01-16,27
2024-01-17,29
2024-01-18,23
2024-01-19,23
2024-01-20,17
2024-01-21,16
2024-01-22,36
2024-01-23,18
2024-01-24,23
2024-01-25,24
2024-01-26,26
2024-01-27,19
2024-01-28,20
2024-01-29,17
2024-01-30,24
2024-01-31,24
2024-02-01,37
2024-02-02,25
2024-02-03,20
2024-02-04,19
2024-02-05,31
2024-02-06,32
2024-02-07,31
2024-02-08,27
2024-02-09,31
2024-02-10,33
2024-02-11,22
2024-02-12,23
2024-02-13,27
2024-02-14,34
2024-02-15,30
2024-02-16,28
2024-02-17,27
2024-02-18,21
2024-02-19,25
2024-02-20,42
2024-02-21,30
2024-02-22,27
2024-02-23,27
2024-02-24,29
2024-02-25,14
2024-02-26,16
2024-02-27,40
2024-02-28,32
2024-02-29,20
2024-03-01,20
2024-03-02,17
2024-03-03,9
2024-03-04,14
2024-03-05,18
2024-03-06,18
2024-03-07,34
2024-03-08,22
2024-03-09,20
2024-03-10,13
2024-03-11,36
2024-03-12,34
2024-03-13,27
2024-03-14,14
2024-03-15,24
2024-03-16,11
2024-03-17,10
2024-03-18,14
2024-03-19,17
2024-03-20,17
2024-03-21,20
2024-03-22,22
2024-03-23,21
2024-03-24,14
2024-03-25,14
2024-03-26,28
2024-03-27,18
2024-03-28,27
2024-03-29,20
2024-03-30,23
2024-03-31,32
2024-04-01,35
2024-04-02,23
2024-04-03,22
2024-04-04,23
2024-04-05,29
2024-04-06,24
2024-04-07,26
2024-04-08,37
2024-04-09,21
2024-04-10,22
2024-04-11,18
2024-04-12,19
2024-04-13,7
2024-04-14,16
2024-04-15,22
2024-04-16,27
2024-04-17,20
2024-04-18,16
2024-04-19,6
2024-04-20,8
2024-04-21,5
2024-04-22,9
2024-04-23,18
2024-04-24,22
2024-04-25,7
2024-04-26,14
2024-04-27,19
2024-04-28,13
2024-04-29,16
2024-04-30,13
2024-05-01,25
2024-05-02,20
2024-05-03,19
2024-05-04,14
2024-05-05,10
2024-05-06,27
2024-05-07,32
2024-05-08,28
2024-05-09,19
2024-05-10,23
2024-05-11,20
2024-05-12,19
2024-05-13,24
2024-05-14,20
2024-05-15,26
2024-05-16,20
2024-05-17,18
2024-05-18,11
2024-05-19,6
2024-05-20,24
2024-05-21,15
2024-05-22,41
2024-05-23,18
2024-05-24,13
2024-05-25,8
2024-05-26,12
2024-05-27,17
2024-05-28,20
2024-05-29,18
2024-05-30,31
2024-05-31,13
2024-06-01,16
2024-06-02,5
2024-06-03,14
2024-06-04,18
2024-06-05,13
2024-06-06,11
2024-06-07,24
2024-06-08,16
2024-06-09,9
2024-06-10,21
2024-06-11,15
2024-06-12,21
2024-06-13,32
2024-06-14,22
2024-06-15,16
2024-06-16,12
2024-06-17,21
2024-06-18,22
2024-06-19,21
2024-06-20,14
2024-06-21,21
2024-06-22,19
2024-06-23,16
2024-06-24,33
2024-06-25,26
2024-06-26,43
2024-06-27,19
2024-06-28,31
2024-06-29,21
2024-06-30,10
2024-07-01,34
2024-07-02,21
2024-07-03,20
2024-07-04,16
2024-07-05,19
2024-07-06,17
2024-07-07,18
2024-07-08,16
2024-07-09,25
2024-07-10,27
2024-07-11,11
2024-07-12,26
2024-07-13,29
2024-07-14,20
2024-07-15,14
2024-07-16,16
2024-07-17,22
2024-07-18,20
2024-07-19,22
2024-07-20,15
2024-07-21,17
2024-07-22,22
2024-07-23,37
2024-07-24,38
2024-07-25,37
2024-07-26,35
2024-07-27,16
2024-07-28,15
2024-07-29,23
2024-07-30,36
2024-07-31,33
2024-08-01,31
2024-08-02,26
2024-08-03,17
2024-08-04,15
2024-08-05,22
2024-08-06,26
2024-08-07,26
2024-08-08,26
2024-08-09,26
2024-08-10,16
2024-08-11,13
2024-08-12,22
2024-08-13,23
2024-08-14,23
2024-08-15,23
2024-08-16,23
2024-08-17,16
2024-08-18,12
2024-08-19,21
2024-08-20,23
2024-08-21,22
2024-08-22,22
2024-08-23,22
2024-08-24,13
2024-08-25,12
2024-08-26,21
2024-08-27,22
2024-08-28,21
2024-08-29,21
2024-08-30,21
2024-08-31,12
2024-09-01,9
2024-09-02,20
2024-09-03,21
2024-09-04,21
2024-09-05,20
2024-09-06,21
2024-09-07,10
2024-09-08,9
2024-09-09,17
2024-09-10,20
2024-09-11,21
2024-09-12,20
2024-09-13,20
2024-09-14,10
2024-09-15,9
2024-09-16,17
2024-09-17,17
2024-09-18,17
2024-09-19,17
2024-09-20,17
2024-09-21,9
