date,demand
2024-01-01,258
2024-01-02,481
2024-01-03,380
2024-01-04,493
2024-01-05,409
2024-01-06,235
2024-01-07,218
2024-01-08,446
2024-01-09,521
2024-01-10,455
2024-01-11,394
2024-01-12,477
2024-01-13,244
2024-01-14,203
2024-01-15,404
2024-01-16,486
2024-01-17,590
2024-01-18,581
2024-01-19,484
2024-01-20,228
2024-01-21,223
2024-01-22,425
2024-01-23,433
2024-01-24,416
2024-01-25,523
2024-01-26,508
2024-01-27,251
2024-01-28,157
2024-01-29,372
2024-01-30,580
2024-01-31,453
2024-02-01,541
2024-02-02,471
2024-02-03,336
2024-02-04,225
2024-02-05,491
2024-02-06,548
2024-02-07,487
2024-02-08,448
2024-02-09,530
2024-02-10,254
2024-02-11,214
2024-02-12,397
2024-02-13,627
2024-02-14,457
2024-02-15,472
2024-02-16,440
2024-02-17,431
2024-02-18,192
2024-02-19,458
2024-02-20,520
2024-02-21,504
2024-02-22,533
2024-02-23,509
2024-02-24,371
2024-02-25,185
2024-02-26,352
2024-02-27,629
2024-02-28,496
2024-02-29,500
2024-03-01,545
2024-03-02,253
2024-03-03,198
2024-03-04,446
2024-03-05,511
2024-03-06,488
2024-03-07,456
2024-03-08,408
2024-03-09,251
2024-03-10,187
2024-03-11,498
2024-03-12,557
2024-03-13,518
2024-03-14,439
2024-03-15,510
2024-03-16,198
2024-03-17,159
2024-03-18,397
2024-03-19,401
2024-03-20,435
2024-03-21,394
2024-03-22,444
2024-03-23,191
2024-03-24,133
2024-03-25,415
2024-03-26,408
2024-03-27,418
2024-03-28,381
2024-03-29,330
2024-03-30,200
2024-03-31,149
2024-04-01,299
2024-04-02,435
2024-04-03,391
2024-04-04,490
2024-04-05,538
2024-04-06,253
2024-04-07,187
2024-04-08,429
2024-04-09,460
2024-04-10,414
2024-04-11,361
2024-04-12,473
2024-04-13,199
2024-04-14,148
2024-04-15,372
2024-04-16,380
2024-04-17,465
2024-04-18,484
2024-04-19,324
2024-04-20,147
2024-04-21,113
2024-04-22,341
2024-04-23,348
2024-04-24,305
2024-04-25,364
2024-04-26,326
2024-04-27,211
2024-04-28,148
2024-04-29,387
2024-04-30,372
2024-05-01,373
2024-05-02,398
2024-05-03,402
2024-05-04,217
2024-05-05,125
2024-05-06,295
2024-05-07,414
2024-05-08,401
2024-05-09,377
2024-05-10,430
2024-05-11,217
2024-05-12,161
2024-05-13,571
2024-05-14,415
2024-05-15,327
2024-05-16,371
2024-05-17,430
2024-05-18,164
2024-05-19,137
2024-05-20,339
2024-05-21,389
2024-05-22,602
2024-05-23,322
2024-05-24,278
2024-05-25,130
2024-05-26,233
2024-05-27,298
2024-05-28,371
2024-05-29,523
2024-05-30,385
2024-05-31,381
2024-06-01,358
2024-06-02,209
2024-06-03,396
2024-06-04,387
2024-06-05,241
2024-06-06,415
2024-06-07,437
2024-06-08,170
2024-06-09,115
2024-06-10,325
2024-06-11,380
2024-06-12,385
2024-06-13,401
2024-06-14,435
2024-06-15,166
2024-06-16,168
2024-06-17,296
2024-06-18,450
2024-06-19,418
2024-06-20,336
2024-06-21,365
2024-06-22,207
2024-06-23,128
2024-06-24,382
2024-06-25,423
2024-06-26,385
2024-06-27,450
2024-06-28,360
2024-06-29,230
2024-06-30,126
2024-07-01,402
2024-07-02,461
2024-07-03,409
2024-07-04,364
2024-07-05,375
2024-07-06,183
2024-07-07,137
2024-07-08,315
2024-07-09,395
2024-07-10,431
2024-07-11,407
2024-07-12,481
2024-07-13,193
2024-07-14,216
2024-07-15,329
2024-07-16,403
2024-07-17,462
2024-07-18,454
2024-07-19,428
2024-07-20,194
2024-07-21,155
2024-07-22,340
2024-07-23,531
2024-07-24,561
2024-07-25,530
2024-07-26,521
2024-07-27,238
2024-07-28,193
2024-07-29,422
2024-07-30,524
2024-07-31,512
2024-08-01,501
2024-08-02,460
2024-08-03,243
2024-08-04,194
2024-08-05,409
2024-08-06,458
2024-08-07,456
2024-08-08,451
2024-08-09,456
2024-08-10,210
2024-08-11,170
2024-08-12,398
2024-08-13,427
2024-08-14,429
2024-08-15,417
2024-08-16,417
2024-08-17,200
2024-08-18,155
2024-08-19,361
2024-08-20,415
2024-08-21,395
2024-08-22,404
2024-08-23,384
2024-08-24,171
2024-08-25,154
2024-08-26,350
2024-08-27,396
2024-08-28,372
2024-08-29,347
2024-08-30,369
2024-08-31,162
2024-09-01,132
2024-09-02,300
2024-09-03,329
2024-09-04,358
2024-09-05,321
2024-09-06,330
2024-09-07,148
2024-09-08,126
2024-09-09,270
2024-09-10,300
