date,demand
2024-01-01,321
2024-01-02,533
2024-01-03,422
2024-01-04,592
2024-01-05,466
2024-01-06,275
2024-01-07,237
2024-01-08,444
2024-01-09,579
2024-01-10,626
2024-01-11,573
2024-01-12,531
2024-01-13,285
2024-01-14,197
2024-01-15,493
2024-01-16,546
2024-01-17,611
2024-01-18,587
2024-01-19,541
2024-01-20,266
2024-01-21,192
2024-01-22,546
2024-01-23,545
2024-01-24,479
2024-01-25,569
2024-01-26,476
2024-01-27,265
2024-01-28,202
2024-01-29,483
2024-01-30,557
2024-01-31,621
2024-02-01,642
2024-02-02,564
2024-02-03,297
2024-02-04,265
2024-02-05,670
2024-02-06,612
2024-02-07,579
2024-02-08,551
2024-02-09,569
2024-02-10,299
2024-02-11,283
2024-02-12,489
2024-02-13,664
2024-02-14,596
2024-02-15,553
2024-02-16,533
2024-02-17,396
2024-02-18,264
2024-02-19,565
2024-02-20,579
2024-02-21,566
2024-02-22,635
2024-02-23,558
2024-02-24,343
2024-02-25,239
2024-02-26,371
2024-02-27,779
2024-02-28,597
2024-02-29,538
2024-03-01,572
2024-03-02,293
2024-03-03,251
2024-03-04,488
2024-03-05,547
2024-03-06,587
2024-03-07,553
2024-03-08,501
2024-03-09,238
2024-03-10,208
2024-03-11,527
2024-03-12,558
2024-03-13,593
2024-03-14,547
2024-03-15,556
2024-03-16,251
2024-03-17,171
2024-03-18,479
2024-03-19,511
2024-03-20,550
2024-03-21,525
2024-03-22,550
2024-03-23,224
2024-03-24,171
2024-03-25,431
2024-03-26,478
2024-03-27,503
2024-03-28,493
2024-03-29,381
2024-03-30,196
2024-03-31,194
2024-04-01,404
2024-04-02,493
2024-04-03,520
2024-04-04,516
2024-04-05,480
2024-04-06,235
2024-04-07,224
2024-04-08,547
2024-04-09,600
2024-04-10,479
2024-04-11,438
2024-04-12,500
2024-04-13,250
2024-04-14,187
2024-04-15,453
2024-04-16,488
2024-04-17,514
2024-04-18,492
2024-04-19,460
2024-04-20,230
2024-04-21,106
2024-04-22,409
2024-04-23,431
2024-04-24,424
2024-04-25,435
2024-04-26,396
2024-04-27,236
2024-04-28,164
2024-04-29,391
2024-04-30,464
2024-05-01,428
2024-05-02,467
2024-05-03,441
2024-05-04,230
2024-05-05,207
2024-05-06,397
2024-05-07,534
2024-05-08,542
2024-05-09,426
2024-05-10,507
2024-05-11,228
2024-05-12,151
2024-05-13,439
2024-05-14,468
2024-05-15,369
2024-05-16,451
2024-05-17,490
2024-05-18,221
2024-05-19,201
2024-05-20,431
2024-05-21,485
2024-05-22,644
2024-05-23,432
2024-05-24,321
2024-05-25,157
2024-05-26,194
2024-05-27,411
2024-05-28,436
2024-05-29,511
2024-05-30,483
2024-05-31,476
2024-06-01,317
2024-06-02,177
2024-06-03,424
2024-06-04,478
2024-06-05,352
2024-06-06,430
2024-06-07,476
2024-06-08,210
2024-06-09,148
2024-06-10,433
2024-06-11,503
2024-06-12,525
2024-06-13,451
2024-06-14,472
2024-06-15,219
2024-06-16,165
2024-06-17,398
2024-06-18,495
2024-06-19,471
2024-06-20,416
2024-06-21,453
2024-06-22,265
2024-06-23,107
2024-06-24,413
2024-06-25,455
2024-06-26,502
2024-06-27,467
2024-06-28,459
2024-06-29,254
2024-06-30,163
2024-07-01,495
2024-07-02,575
2024-07-03,509
2024-07-04,503
2024-07-05,419
2024-07-06,188
2024-07-07,175
2024-07-08,385
2024-07-09,481
2024-07-10,496
2024-07-11,487
2024-07-12,419
2024-07-13,275
2024-07-14,235
2024-07-15,422
2024-07-16,463
2024-07-17,512
2024-07-18,412
2024-07-19,445
2024-07-20,219
2024-07-21,239
2024-07-22,422
2024-07-23,648
2024-07-24,678
2024-07-25,645
2024-07-26,636
2024-07-27,303
2024-07-28,255
2024-07-29,522
2024-07-30,641
2024-07-31,616
2024-08-01,605
2024-08-02,561
2024-08-03,305
2024-08-04,256
2024-08-05,492
2024-08-06,559
2024-08-07,553
2024-08-08,545
2024-08-09,552
2024-08-10,278
2024-08-11,224
2024-08-12,480
2024-08-13,524
2024-08-14,529
2024-08-15,513
2024-08-16,514
2024-08-17,267
2024-08-18,204
2024-08-19,450
2024-08-20,508
2024-08-21,475
2024-08-22,484
2024-08-23,465
2024-08-24,224
2024-08-25,204
2024-08-26,430
2024-08-27,477
2024-08-28,456
2024-08-29,428
2024-08-30,456
2024-08-31,214
2024-09-01,178
2024-09-02,376
2024-09-03,407
2024-09-04,444
2024-09-05,398
2024-09-06,411
2024-09-07,193
2024-09-08,172
2024-09-09,341
2024-09-10,376
2024-09-11,399
2024-09-12,379
2024-09-13,381
2024-09-14,189
2024-09-15,156
2024-09-16,315
2024-09-17,327
2024-09-18,325
2024-09-19,310
2024-09-20,315
2024-09-21,164
2024-09-22,256
2024-09-23,238
2024-09-24,304
2024-09-25,228
2024-09-26,251
2024-09-27,73
2024-09-28,161
2024-09-29,170
2024-09-30,228
2024-10-01,172
2024-10-02,175
2024-10-03,230
2024-10-04,193
2024-10-05,115
2024-10-06,123
2024-10-07,181
2024-10-08,232
2024-10-09,216
2024-10-10,234
2024-10-11,214
2024-10-12,84
2024-10-13,104
2024-10-14,194
