date,demand
2024-01-01,255
2024-01-02,529
2024-01-03,346
2024-01-04,415
2024-01-05,393
2024-01-06,224
2024-01-07,207
2024-01-08,369
2024-01-09,502
2024-01-10,485
2024-01-11,373
2024-01-12,377
2024-01-13,214
2024-01-14,174
2024-01-15,336
2024-01-16,410
2024-01-17,454
2024-01-18,583
2024-01-19,480
2024-01-20,216
2024-01-21,189
2024-01-22,362
2024-01-23,396
2024-01-24,392
2024-01-25,480
2024-01-26,472
2024-01-27,241
2024-01-28,174
2024-01-29,428
2024-01-30,506
2024-01-31,440
2024-02-01,530
2024-02-02,508
2024-02-03,298
2024-02-04,268
2024-02-05,575
2024-02-06,483
2024-02-07,463
2024-02-08,445
2024-02-09,544
2024-02-10,306
2024-02-11,231
2024-02-12,370
2024-02-13,574
2024-02-14,426
2024-02-15,468
2024-02-16,425
2024-02-17,444
2024-02-18,215
2024-02-19,453
2024-02-20,501
2024-02-21,458
2024-02-22,487
2024-02-23,452
2024-02-24,369
2024-02-25,202
2024-02-26,373
2024-02-27,581
2024-02-28,472
2024-02-29,509
2024-03-01,499
2024-03-02,278
2024-03-03,209
2024-03-04,400
2024-03-05,421
2024-03-06,431
2024-03-07,435
2024-03-08,347
2024-03-09,236
2024-03-10,206
2024-03-11,420
2024-03-12,519
2024-03-13,499
2024-03-14,409
2024-03-15,390
2024-03-16,218
2024-03-17,160
2024-03-18,378
2024-03-19,366
2024-03-20,385
2024-03-21,364
2024-03-22,364
2024-03-23,178
2024-03-24,111
2024-03-25,283
2024-03-26,334
2024-03-27,373
2024-03-28,335
2024-03-29,241
2024-03-30,161
2024-03-31,151
2024-04-01,334
2024-04-02,389
2024-04-03,329
2024-04-04,470
2024-04-05,352
2024-04-06,208
2024-04-07,145
2024-04-08,387
2024-04-09,440
2024-04-10,467
2024-04-11,368
2024-04-12,376
2024-04-13,206
2024-04-14,142
2024-04-15,350
2024-04-16,341
2024-04-17,401
2024-04-18,363
2024-04-19,358
2024-04-20,211
2024-04-21,128
2024-04-22,316
2024-04-23,295
2024-04-24,319
2024-04-25,319
2024-04-26,306
2024-04-27,196
2024-04-28,132
2024-04-29,333
2024-04-30,344
2024-05-01,364
2024-05-02,365
2024-05-03,367
2024-05-04,197
2024-05-05,142
2024-05-06,265
2024-05-07,435
2024-05-08,385
2024-05-09,362
2024-05-10,438
2024-05-11,214
2024-05-12,174
2024-05-13,313
2024-05-14,295
2024-05-15,247
2024-05-16,347
2024-05-17,395
2024-05-18,184
2024-05-19,139
2024-05-20,305
2024-05-21,346
2024-05-22,532
2024-05-23,332
2024-05-24,225
2024-05-25,113
2024-05-26,239
2024-05-27,281
2024-05-28,331
2024-05-29,462
2024-05-30,381
2024-05-31,401
2024-06-01,325
2024-06-02,175
2024-06-03,353
2024-06-04,384
2024-06-05,243
2024-06-06,355
2024-06-07,348
2024-06-08,217
2024-06-09,149
2024-06-10,365
2024-06-11,387
2024-06-12,358
2024-06-13,382
2024-06-14,347
2024-06-15,191
2024-06-16,147
2024-06-17,275
2024-06-18,402
2024-06-19,372
2024-06-20,266
2024-06-21,323
2024-06-22,170
2024-06-23,104
2024-06-24,347
2024-06-25,363
2024-06-26,450
2024-06-27,341
2024-06-28,352
2024-06-29,214
2024-06-30,143
2024-07-01,357
2024-07-02,418
2024-07-03,353
2024-07-04,306
2024-07-05,334
2024-07-06,148
2024-07-07,142
2024-07-08,346
2024-07-09,414
2024-07-10,394
2024-07-11,400
2024-07-12,362
2024-07-13,268
2024-07-14,208
2024-07-15,291
2024-07-16,354
2024-07-17,412
2024-07-18,343
2024-07-19,373
2024-07-20,189
2024-07-21,187
2024-07-22,306
2024-07-23,452
2024-07-24,473
2024-07-25,450
2024-07-26,441
2024-07-27,211
2024-07-28,182
2024-07-29,348
2024-07-30,442
2024-07-31,430
2024-08-01,416
2024-08-02,385
2024-08-03,217
2024-08-04,184
2024-08-05,335
2024-08-06,383
2024-08-07,377
2024-08-08,365
2024-08-09,376
2024-08-10,191
2024-08-11,169
2024-08-12,325
2024-08-13,349
2024-08-14,350
2024-08-15,346
2024-08-16,347
2024-08-17,189
2024-08-18,156
2024-08-19,299
2024-08-20,344
2024-08-21,318
2024-08-22,331
2024-08-23,312
2024-08-24,169
2024-08-25,154
2024-08-26,288
2024-08-27,325
2024-08-28,302
2024-08-29,288
2024-08-30,302
2024-08-31,160
2024-09-01,127
2024-09-02,255
2024-09-03,274
2024-09-04,294
2024-09-05,267
2024-09-06,276
2024-09-07,143
2024-09-08,117
2024-09-09,233
2024-09-10,256
2024-09-11,270
2024-09-12,259
2024-09-13,259
2024-09-14,135
2024-09-15,111
2024-09-16,219
2024-09-17,229
2024-09-18,225
2024-09-19,217
2024-09-20,219
2024-09-21,113
2024-09-22,180
2024-09-23,112
2024-09-24,175
2024-09-25,138
2024-09-26,144
2024-09-27,51
2024-09-28,115
2024-09-29,98
2024-09-30,115
2024-10-01,110
2024-10-02,134
2024-10-03,196
2024-10-04,170
2024-10-05,98
2024-10-06,130
2024-10-07,159
2024-10-08,164
2024-10-09,155
2024-10-10,161
2024-10-11,141
2024-10-12,67
2024-10-13,199
2024-10-14,136
2024-10-15,153
2024-10-16,167
2024-10-17,134
2024-10-18,131
2024-10-19,59
2024-10-20,52
2024-10-21,101
2024-10-22,128
2024-10-23,144
2024-10-24,170
2024-10-25,119
2024-10-26,91
2024-10-27,39
2024-10-28,79
2024-10-29,68
2024-10-30,88
