date,demand
2024-01-01,130
2024-01-02,115
2024-01-03,69
2024-01-04,126
2024-01-05,106
2024-01-06,75
2024-01-07,78
2024-01-08,93
2024-01-09,76
2024-01-10,77
2024-01-11,94
2024-01-12,88
2024-01-13,62
2024-01-14,62
2024-01-15,88
2024-01-16,109
2024-01-17,117
2024-01-18,90
2024-01-19,110
2024-01-20,68
2024-01-21,76
2024-01-22,91
2024-01-23,74
2024-01-24,80
2024-01-25,99
2024-01-26,84
2024-01-27,62
2024-01-28,54
2024-01-29,104
2024-01-30,99
2024-01-31,116
2024-02-01,132
2024-02-02,100
2024-02-03,80
2024-02-04,81
2024-02-05,114
2024-02-06,94
2024-02-07,115
2024-02-08,117
2024-02-09,83
2024-02-10,77
2024-02-11,59
2024-02-12,89
2024-02-13,104
2024-02-14,105
2024-02-15,116
2024-02-16,66
2024-02-17,80
2024-02-18,77
2024-02-19,118
2024-02-20,126
2024-02-21,100
2024-02-22,134
2024-02-23,102
2024-02-24,93
2024-02-25,59
2024-02-26,49
2024-02-27,128
2024-02-28,86
2024-02-29,98
2024-03-01,83
2024-03-02,52
2024-03-03,55
2024-03-04,85
2024-03-05,98
2024-03-06,64
2024-03-07,111
2024-03-08,68
2024-03-09,72
2024-03-10,62
2024-03-11,99
2024-03-12,142
2024-03-13,107
2024-03-14,108
2024-03-15,98
2024-03-16,52
2024-03-17,47
2024-03-18,80
2024-03-19,82
2024-03-20,81
2024-03-21,78
2024-03-22,104
2024-03-23,47
2024-03-24,41
2024-03-25,84
2024-03-26,70
2024-03-27,107
2024-03-28,99
2024-03-29,88
2024-03-30,64
2024-03-31,75
2024-04-01,116
2024-04-02,77
2024-04-03,70
2024-04-04,89
2024-04-05,107
2024-04-06,107
2024-04-07,75
2024-04-08,87
2024-04-09,97
2024-04-10,95
2024-04-11,62
2024-04-12,83
2024-04-13,50
2024-04-14,57
2024-04-15,80
2024-04-16,65
2024-04-17,66
2024-04-18,67
2024-04-19,45
2024-04-20,41
2024-04-21,29
2024-04-22,33
2024-04-23,74
2024-04-24,58
2024-04-25,63
2024-04-26,51
2024-04-27,48
2024-04-28,49
2024-04-29,46
2024-04-30,54
2024-05-01,102
2024-05-02,84
2024-05-03,87
2024-05-04,44
2024-05-05,48
2024-05-06,73
2024-05-07,104
2024-05-08,119
2024-05-09,84
2024-05-10,81
2024-05-11,43
2024-05-12,58
2024-05-13,60
2024-05-14,78
2024-05-15,69
2024-05-16,63
2024-05-17,66
2024-05-18,53
2024-05-19,31
2024-05-20,74
2024-05-21,81
2024-05-22,132
2024-05-23,78
2024-05-24,36
2024-05-25,40
2024-05-26,39
2024-05-27,89
2024-05-28,79
2024-05-29,90
2024-05-30,88
2024-05-31,40
2024-06-01,33
2024-06-02,25
2024-06-03,66
2024-06-04,101
2024-06-05,41
2024-06-06,71
2024-06-07,87
2024-06-08,48
2024-06-09,31
2024-06-10,90
2024-06-11,74
2024-06-12,93
2024-06-13,86
2024-06-14,84
2024-06-15,59
2024-06-16,61
2024-06-17,71
2024-06-18,88
2024-06-19,80
2024-06-20,88
2024-06-21,76
2024-06-22,55
2024-06-23,43
2024-06-24,79
2024-06-25,70
2024-06-26,110
2024-06-27,95
2024-06-28,86
2024-06-29,66
2024-06-30,37
2024-07-01,96
2024-07-02,85
2024-07-03,87
2024-07-04,77
2024-07-05,87
2024-07-06,61
2024-07-07,67
2024-07-08,76
2024-07-09,117
2024-07-10,90
2024-07-11,79
2024-07-12,86
2024-07-13,76
2024-07-14,64
2024-07-15,77
2024-07-16,86
2024-07-17,83
2024-07-18,66
2024-07-19,79
2024-07-20,51
2024-07-21,54
2024-07-22,72
2024-07-23,105
2024-07-24,113
2024-07-25,105
2024-07-26,105
2024-07-27,44
2024-07-28,37
2024-07-29,86
2024-07-30,105
2024-07-31,102
2024-08-01,102
2024-08-02,96
2024-08-03,46
2024-08-04,37
2024-08-05,79
2024-08-06,95
2024-08-07,94
2024-08-08,92
2024-08-09,94
2024-08-10,39
2024-08-11,31
2024-08-12,74
2024-08-13,88
2024-08-14,88
2024-08-15,85
2024-08-16,86
2024-08-17,37
2024-08-18,29
2024-08-19,67
2024-08-20,81
2024-08-21,72
2024-08-22,75
2024-08-23,69
2024-08-24,31
2024-08-25,29
2024-08-26,65
2024-08-27,73
2024-08-28,68
2024-08-29,65
2024-08-30,68
2024-08-31,29
2024-09-01,24
2024-09-02,56
2024-09-03,62
2024-09-04,66
2024-09-05,62
2024-09-06,62
2024-09-07,27
2024-09-08,23
2024-09-09,54
2024-09-10,57
2024-09-11,62
2024-09-12,57
2024-09-13,57
2024-09-14,25
2024-09-15,21
2024-09-16,47
2024-09-17,52
2024-09-18,52
2024-09-19,47
2024-09-20,47
2024-09-21,22
2024-09-22,38
2024-09-23,22
2024-09-24,48
2024-09-25,31
2024-09-26,27
2024-09-27,10
2024-09-28,15
2024-09-29,27
2024-09-30,21
2024-10-01,21
2024-10-02,42
2024-10-03,23
2024-10-04,31
2024-10-05,25
2024-10-06,38
2024-10-07,41
2024-10-08,49
2024-10-09,19
2024-10-10,49
2024-10-11,25
2024-10-12,17
2024-10-13,22
2024-10-14,38
2024-10-15,46
2024-10-16,35
2024-10-17,31
2024-10-18,35
2024-10-19,24
2024-10-20,12
2024-10-21,27
2024-10-22,32
2024-10-23,37
2024-10-24,45
2024-10-25,41
2024-10-26,30
2024-10-27,18
2024-10-28,20
2024-10-29,34
2024-10-30,28
2024-10-31,26
2024-11-01,27
2024-11-02,13
2024-11-03,6
2024-11-04,37
2024-11-05,30
2024-11-06,20
2024-11-07,45
2024-11-08,26
2024-11-09,16
2024-11-10,7
2024-11-11,21
2024-11-12,20
2024-11-13,27
2024-11-14,15
2024-11-15,15
2024-11-16,18
2024-11-17,11
2024-11-18,37
2024-11-19,21
2024-11-20,7
2024-11-21,11
2024-11-22,17
2024-11-23,14
2024-11-24,4
2024-11-25,9
2024-11-26,15
2024-11-27,18
2024-11-28,29
2024-11-29,42
2024-11-30,13
2024-12-01,15
2024-12-02,29
2024-12-03,28
2024-12-04,47
2024-12-05,46
2024-12-06,50
2024-12-07,31
2024-12-08,33
2024-12-09,38
2024-12-10,33
2024-12-11,35
2024-12-12,30
2024-12-13,59
2024-12-14,54
2024-12-15,34
2024-12-16,43
2024-12-17,68
2024-12-18,83
2024-12-19,29
2024-12-20,97
2024-12-21,103
2024-12-22,55
2024-12-23,111
2024-12-24,63
2024-12-25,47
2024-12-26,78
2024-12-27,93
2024-12-28,53
2024-12-29,66
2024-12-30,38
2024-12-31,33
