skill,count,frequency_pct
sql,11034,50.54512139257902
excel,10091,46.22537792029318
tableau,6234,28.557031607879065
power bi,6082,27.860742098030233
python,5690,26.065048098946406
r,2847,13.04168575355016
powerpoint,2556,11.708657810352726
word,2037,9.331195602382044
sas,1930,8.841044434264774
sap,1696,7.76912505726065
azure,1646,7.540082455336693
oracle,1458,6.678882272102611
flow,1329,6.0879523591388
aws,1251,5.730645900137426
go,1085,4.970224461749885
sql server,1051,4.814475492441594
looker,1047,4.7961520842876775
jira,1038,4.754924415941365
dax,954,4.370132844709116
vba,895,4.099862574438846
qlik,854,3.9120476408612004
snowflake,847,3.879981676591846
outlook,730,3.344021988089785
java,724,3.3165368758589095
visio,593,2.71644525881814
c,566,2.592762253779203
sharepoint,534,2.44617498854787
sheets,520,2.3820430600091616
databricks,515,2.359138799816766
confluence,482,2.2079706825469536
ssis,477,2.185066422354558
alteryx,472,2.1621621621621623
redshift,447,2.047640861200183
ssrs,427,1.9560238204306002
spark,419,1.919377004122767
bigquery,418,1.9147961520842878
cognos,413,1.8918918918918919
gcp,386,1.7682088868529546
hadoop,384,1.7590471827759964
linux,363,1.6628492899679341
javascript,350,1.603298213467705
spss,346,1.5849748053137884
windows,342,1.5666513971598717
nosql,310,1.4200641319285388
express,306,1.401740723774622
spreadsheet,301,1.3788364635822263
mysql,286,1.310123683005039
mongodb,278,1.2734768666972056
git,275,1.2597343105817682
microstrategy,256,1.1726981218506642
github,237,1.0856619331195603
kubernetes,228,1.0444342647732479
gdpr,221,1.0123683005038937
kafka,209,0.9573980760421439
airflow,199,0.9115895556573522
unix,189,0.8657810352725607
scala,180,0.8245533669262483
postgresql,179,0.8199725148877691
matlab,179,0.8199725148877691
jenkins,167,0.7650022904260192
html,160,0.7329363261566652
shell,155,0.7100320659642694
docker,151,0.6917086578103527
pandas,151,0.6917086578103527
c++,145,0.6642235455794778
t-sql,144,0.6596426935409986
crystal,141,0.6459001374255612
c#,136,0.6229958772331654
selenium,133,0.6092533211177279
spring,130,0.5955107650022904
powershell,129,0.5909299129638113
visual basic,124,0.5680256527714155
pyspark,121,0.554283096655978
ansible,116,0.5313788364635822
chef,114,0.5222171323866239
css,107,0.49015116811726983
ms access,106,0.48557031607879064
react,100,0.45808520384791573
smartsheet,100,0.45808520384791573
terraform,98,0.4489234997709574
bash,93,0.42601923957856164
vue,93,0.42601923957856164
ruby,90,0.4122766834631241
assembly,89,0.407695831424645
atlassian,89,0.407695831424645
node.js,88,0.4031149793861658
swift,81,0.3710490151168117
numpy,81,0.3710490151168117
db2,75,0.3435639028859368
php,72,0.3298213467704993
zoom,72,0.3298213467704993
phoenix,70,0.320659642693541
tensorflow,68,0.3114979386165827
dynamodb,66,0.3023362345396244
perl,64,0.29317453046266606
angular.js,63,0.2885936784241869
scikit-learn,62,0.28401282638570774
pytorch,61,0.2794319743472286
splunk,59,0.2702702702702703
planner,58,0.2656894182317911
