skill,count,frequency_pct
python,2012,41.5016501650165
azure,1754,36.179867986798676
aws,1618,33.37458745874587
sql,1328,27.392739273927393
kubernetes,921,18.997524752475247
gcp,902,18.605610561056107
terraform,821,16.934818481848186
java,814,16.79042904290429
linux,655,13.51072607260726
docker,582,12.004950495049505
excel,534,11.014851485148515
git,489,10.086633663366337
go,477,9.839108910891088
windows,444,9.158415841584159
ansible,413,8.518976897689768
javascript,406,8.374587458745875
spark,361,7.446369636963697
bash,357,7.3638613861386135
r,345,7.116336633663367
snowflake,316,6.518151815181518
github,313,6.456270627062707
bigquery,312,6.435643564356436
powershell,300,6.188118811881188
jenkins,283,5.837458745874588
databricks,277,5.713696369636963
tableau,266,5.486798679867987
kafka,253,5.218646864686469
oracle,252,5.198019801980198
nosql,245,5.053630363036303
word,241,4.971122112211221
mongodb,240,4.9504950495049505
power bi,230,4.744224422442244
scala,227,4.682343234323432
c++,210,4.3316831683168315
postgresql,208,4.29042904290429
gitlab,206,4.249174917491749
mysql,205,4.228547854785479
vmware,202,4.166666666666667
sql server,196,4.042904290429043
c,195,4.022277227722772
jira,190,3.919141914191419
flow,190,3.919141914191419
airflow,186,3.8366336633663365
ruby,184,3.7953795379537953
node.js,184,3.7953795379537953
shell,177,3.650990099009901
hadoop,175,3.6097359735973598
puppet,137,2.825907590759076
firebase,134,2.764026402640264
powerpoint,132,2.722772277227723
redshift,131,2.702145214521452
react,131,2.702145214521452
chef,130,2.6815181518151814
c#,121,2.495874587458746
sap,114,2.3514851485148514
confluence,112,2.31023102310231
looker,111,2.2896039603960396
typescript,107,2.207095709570957
tensorflow,105,2.1658415841584158
html,104,2.145214521452145
angular,103,2.1245874587458746
golang,103,2.1245874587458746
pytorch,93,1.9183168316831682
css,93,1.9183168316831682
outlook,89,1.8358085808580857
spring,89,1.8358085808580857
pyspark,85,1.7533003300330032
splunk,84,1.7326732673267327
mongo,79,1.6295379537953796
unix,78,1.608910891089109
scikit-learn,78,1.608910891089109
gdpr,73,1.5057755775577557
groovy,65,1.3407590759075907
ubuntu,61,1.2582508250825082
perl,59,1.216996699669967
sas,58,1.1963696369636965
openstack,55,1.1344884488448845
sharepoint,55,1.1344884488448845
dynamodb,53,1.0932343234323432
elasticsearch,48,0.9900990099009901
redhat,47,0.9694719471947195
express,47,0.9694719471947195
selenium,46,0.9488448844884488
pandas,43,0.886963696369637
assembly,43,0.886963696369637
sheets,40,0.8250825082508251
redis,40,0.8250825082508251
cassandra,39,0.8044554455445545
php,39,0.8044554455445545
node,37,0.7632013201320133
slack,36,0.7425742574257426
colocation,33,0.6806930693069307
visio,28,0.5775577557755776
swift,28,0.5775577557755776
aurora,28,0.5775577557755776
bitbucket,27,0.556930693069307
atlassian,27,0.556930693069307
graphql,26,0.5363036303630363
rust,26,0.5363036303630363
matlab,25,0.5156765676567657
