skill,count,frequency_pct
sql,52505,57.72063673541181
excel,37706,41.4515632557935
python,35508,39.035222725473815
tableau,26939,29.615012532430413
power bi,26499,29.13130469196605
r,17203,18.9118772261554
sas,12902,14.183633085616288
word,6842,7.52165691922079
powerpoint,6537,7.186359438898905
azure,6015,6.612506046348006
sap,5598,6.15408293390792
aws,5208,5.725341893496328
oracle,4927,5.416428477199771
go,4539,4.989886108790291
looker,4171,4.585330460401917
sql server,4115,4.523767644342817
flow,3969,4.363264588188734
snowflake,3915,4.303900444131744
vba,3291,3.6179147794731983
java,3069,3.373862187238908
spark,2835,3.116617562991953
qlik,2629,2.890154346774548
databricks,2597,2.8549755947407767
alteryx,2527,2.778022074666901
spss,2496,2.743942658634185
jira,2455,2.698869882590915
javascript,2430,2.671386482564531
dax,2285,2.5119827624115034
outlook,2229,2.4504199463524032
bigquery,2171,2.3866584582911923
sharepoint,2155,2.369069082274306
c,1909,2.098632426014687
gcp,1860,2.0447649619629744
hadoop,1825,2.006288201926037
sheets,1735,1.907347961831054
git,1734,1.9062486258299987
mysql,1587,1.7446462336748605
airflow,1572,1.72815619365903
pandas,1480,1.6270172815619366
redshift,1474,1.6204212655556045
nosql,1354,1.4885009454289608
gdpr,1314,1.4445275053867463
scala,1276,1.4027527373466426
ssrs,1147,1.260938393210501
windows,1142,1.255441713205224
ssis,1129,1.2411503451915042
postgresql,1066,1.1718921771250166
express,1064,1.1696935051229058
c++,1028,1.1301174090849126
pyspark,1008,1.1081306890638054
cognos,961,1.0564618970142035
confluence,938,1.03117716898993
visio,931,1.0234818169825426
github,930,1.0223824809814872
spreadsheet,930,1.0223824809814872
docker,928,1.0201838089793764
numpy,916,1.006991776966712
linux,899,0.988303064948771
matlab,897,0.9861043929466602
mongodb,892,0.9806077129413834
html,865,0.9509256409128887
tensorflow,845,0.9289389208917813
c#,832,0.9146475528780617
matplotlib,802,0.8816674728464008
microstrategy,789,0.867376104832681
t-sql,771,0.8475880568136845
ms access,733,0.8058132887735807
jenkins,708,0.7783298887471967
spring,683,0.7508464887208126
kafka,663,0.7288597686997054
shell,662,0.72776043269865
visual basic,570,0.6266215206015566
crystal,568,0.624422848599446
jupyter,553,0.6079328085836155
db2,552,0.6068334725825602
php,520,0.5716547205487885
react,500,0.5496680005276813
scikit-learn,476,0.5232839365023526
css,457,0.5023965524823006
unix,444,0.488105184468581
chef,424,0.46611846444747373
pytorch,416,0.4573237764390308
swift,412,0.4529264324348094
vue,375,0.41225100039576096
splunk,368,0.40455564838837343
kubernetes,344,0.3781715843630447
bash,336,0.3693768963546018
powershell,334,0.3671782243524911
seaborn,326,0.3583835363440482
zoom,313,0.34409216833032846
assembly,285,0.3133107603007783
firebase,284,0.312211424299723
terminal,276,0.3034167362912801
microsoft teams,271,0.29792005628600327
ruby,260,0.28582736027439426
gitlab,255,0.28033068026911745
perl,249,0.27373466426278525
plotly,246,0.2704366562596192
slack,244,0.26823798425750844
smartsheet,224,0.2462512642364012
