skill,count,frequency_pct
sql,80022,67.8860167802031
python,76861,65.20440798459411
aws,46129,39.13316423051147
azure,44520,37.768182088108794
spark,35949,30.497043528423696
java,23096,19.593304885601093
databricks,22887,19.416001425214418
snowflake,21172,17.96109503974482
airflow,19820,16.814136769683653
scala,18939,16.0667475419293
hadoop,18518,15.709595595408773
kafka,18474,15.672268551116842
gcp,17319,14.692433638453643
nosql,14947,12.680166614352249
power bi,13891,11.784317551345895
redshift,13607,11.543388447279792
pyspark,12754,10.819752793165758
git,12256,10.397278519134352
tableau,12146,10.303960908404523
sql server,11155,9.46325406992034
mongodb,11060,9.382661587926398
oracle,10111,8.577585109902696
docker,9904,8.401978333347472
kubernetes,9685,8.21619145380354
flow,8756,7.4280818140943525
bigquery,8590,7.287257056083884
terraform,7635,6.477090526565827
postgresql,7364,6.247189867404159
mysql,7218,6.123331947708205
r,7015,5.9511185388158845
linux,6825,5.789933574827999
shell,6126,5.196942575735725
ssis,5869,4.978918703394216
excel,5757,4.883904408832936
github,5738,4.867785912434147
go,5602,4.752411411895451
jenkins,5592,4.743927992738193
sas,4722,4.005870526056822
jira,4628,3.9261263859786046
pandas,4414,3.744581216013302
cassandra,4111,3.4875336155484105
looker,3517,2.9836185176073364
javascript,3499,2.9683483631242735
c#,3497,2.966651679292822
unix,3472,2.945443131399679
sap,3287,2.7884998769904223
gitlab,2822,2.394020886177965
bash,2813,2.3863858089364336
t-sql,2571,2.1810870653308108
dynamodb,2427,2.058925829466308
confluence,2340,1.985120082798171
elasticsearch,2339,1.9842717408824453
windows,2242,1.901982575057051
qlik,2178,1.8476886924506053
powershell,2083,1.7670962104566625
c++,2050,1.7391009272377138
ansible,2018,1.711953985934491
ssrs,2002,1.6983805152828797
word,1972,1.6729302578111083
tensorflow,1863,1.5804609889970054
gdpr,1817,1.5414372608736224
numpy,1797,1.5244704225591081
c,1575,1.3361385172679996
mongo,1573,1.3344418334365482
dax,1540,1.3064465502175997
ruby,1508,1.2792996089143769
redis,1492,1.2657261382627654
pytorch,1490,1.264029454431314
bitbucket,1460,1.2385791969595425
spring,1376,1.1673184760385826
scikit-learn,1316,1.1164179610950398
db2,1304,1.1062378581063312
react,1256,1.065517446151497
alteryx,1213,1.0290387437752913
html,1175,0.9968017509777141
aurora,1091,0.925541030056754
golang,1053,0.893304037259177
jupyter,1033,0.8763371989446627
splunk,950,0.8059248199394284
graphql,875,0.7422991762599999
perl,843,0.7151522349567769
matlab,834,0.7075171577152456
typescript,826,0.7007304223894398
no-sql,824,0.6990337385579884
express,811,0.6880052936535541
unity,785,0.6659484038446856
angular,761,0.6455881978672684
microstrategy,742,0.6294697014684798
yarn,738,0.626076333805577
css,730,0.6192895984797713
flask,704,0.5972327086709027
neo4j,696,0.590445973345097
vba,663,0.5624506901261485
powerpoint,658,0.5582089805475199
django,651,0.5522705871374399
chef,650,0.5514222452217141
cognos,650,0.5514222452217141
php,583,0.4945833368680913
node.js,574,0.4869482596265599
outlook,520,0.4411377961773713
