skill,count,frequency_pct
python,64628,78.40349387358971
sql,44259,53.69283028023778
r,31132,37.76780298435036
aws,16726,20.29115613247604
tableau,15204,18.44474099235715
azure,14627,17.744753123862672
sas,13144,15.94565085527114
spark,12980,15.746694164745845
tensorflow,12432,15.081887662258886
pytorch,10484,12.718670386995026
power bi,9929,12.045371830644182
excel,8925,10.827368676452748
pandas,8707,10.562901856120344
scikit-learn,8044,9.758583040155283
hadoop,7711,9.354603906344778
java,7628,9.253912410530146
numpy,6289,7.6295038214242386
git,6109,7.411136722067209
databricks,5811,7.049617857576125
docker,5349,6.489142302559747
gcp,5280,6.405434914472886
scala,5123,6.214970277811476
go,4344,5.269925997816329
nosql,4140,5.022443285211695
pyspark,3878,4.704597840592018
snowflake,3858,4.680334829552347
keras,3824,4.639087710784908
c++,3753,4.55295402159408
mongodb,3198,3.879655465243237
matplotlib,3132,3.7995875288123258
matlab,3043,3.691617129685794
kubernetes,3011,3.652796312022322
oracle,3008,3.6491568603663715
github,2816,3.4162319543855393
flow,2790,3.384690040033968
javascript,2694,3.268227587043552
linux,2476,3.003760766711149
powerpoint,2372,2.877593109304865
jupyter,2343,2.842411743297343
airflow,2310,2.8023777750818875
word,2294,2.7829673662501517
sql server,2223,2.696833677059323
c,2111,2.560960815237171
mysql,2032,2.4651219216304745
kafka,1896,2.3001334465607184
bigquery,1866,2.263738930001213
looker,1856,2.251607424481378
jira,1840,2.2321970156496422
spss,1795,2.1776052408103848
sap,1678,2.035666626228315
postgresql,1648,1.99927210966881
redshift,1607,1.9495329370374863
seaborn,1605,1.9471066359335194
qlik,1559,1.8913017105422782
jenkins,1397,1.6947713211209512
plotly,1337,1.621982288001941
express,1135,1.3769258765012737
vba,1093,1.3259735533179668
alteryx,1059,1.2847264345505278
c#,1055,1.2798738323425938
nltk,967,1.1731165837680455
shell,953,1.1561324760402767
spring,894,1.08455659347325
elasticsearch,850,1.031177969185976
flask,846,1.0263253669780419
cassandra,845,1.0251122164260584
unix,807,0.9790124954506855
bash,786,0.9535363338590319
confluence,782,0.9486837316510979
hugging face,775,0.9401916777872134
windows,738,0.8953051073638238
outlook,717,0.8698289457721703
gitlab,700,0.8492053863884508
julia,698,0.8467790852844838
terraform,671,0.8140240203809292
gdpr,639,0.7752032027174572
react,617,0.7485138905738202
html,604,0.7327429333980346
ssis,597,0.7242508795341502
django,587,0.7121193740143151
ruby,512,0.6211330826155526
neo4j,485,0.588378017711998
sharepoint,480,0.5823122649520805
css,480,0.5823122649520805
ggplot2,479,0.5810991144000971
fastapi,474,0.5750333616401796
opencv,454,0.5507703506005095
perl,439,0.532573092320757
dax,413,0.501031177969186
angular,387,0.46948926361761495
cognos,358,0.4343078976100934
ibm cloud,352,0.4270289942981924
t-sql,350,0.4246026931942254
php,344,0.4173237898823244
bitbucket,335,0.4064054349144729
dynamodb,317,0.38456872497876987
splunk,315,0.38214242387480285
ssrs,314,0.38092927332281934
chef,285,0.3457479073152978
phoenix,279,0.3384690040033968
