skill,count,frequency_pct
python,9445,83.57667463056367
pytorch,4823,42.677639146978144
tensorflow,4559,40.34156269356694
aws,4045,35.79329262897089
azure,3346,29.607999292098043
sql,3140,27.785151756481728
docker,2534,22.42279444296965
scikit-learn,2456,21.732590036279976
kubernetes,2200,19.46730377842669
spark,2166,19.16644544730555
java,2038,18.033802318378903
gcp,1879,16.62684718166534
git,1584,14.016458720467215
pandas,1545,13.671356517122378
keras,1484,13.131581275993275
r,1476,13.06079108043536
c++,1211,10.715865852579418
airflow,1202,10.636226882576763
databricks,1150,10.176090611450315
numpy,1106,9.78674453588178
hadoop,908,8.034687195823379
scala,840,7.432970533581099
linux,824,7.291390142465269
kafka,760,6.725068578001947
pyspark,702,6.211839660207061
github,690,6.105654366870189
nosql,665,5.884435005751703
terraform,649,5.742854614635873
go,627,5.548181576851606
jenkins,528,4.672152906822405
flow,521,4.610211485709229
snowflake,510,4.512874966817096
mongodb,490,4.3358994779223075
excel,454,4.017343597911689
sas,402,3.55720732678524
matplotlib,386,3.41562693566941
tableau,385,3.4067781612246706
c#,331,2.9289443412087426
power bi,311,2.7519688523139547
jira,295,2.610388461198124
javascript,291,2.5749933634191664
jupyter,289,2.5572958145296876
hugging face,277,2.4511105211928146
gitlab,261,2.3095301300769844
c,256,2.2652862578532873
elasticsearch,248,2.194496062295372
bash,239,2.1148570922927177
fastapi,239,2.1148570922927177
bigquery,235,2.07946199451376
nltk,232,2.0529156711795418
oracle,227,2.0086717989558447
redshift,227,2.0086717989558447
flask,227,2.0086717989558447
mysql,221,1.9555791522874082
opencv,208,1.840545084505796
matlab,207,1.8316963100610566
react,207,1.8316963100610566
shell,205,1.8139987611715778
ruby,192,1.6989646933899656
postgresql,191,1.6901159189452262
word,162,1.4335014600477833
windows,160,1.4158039111583045
typescript,159,1.406955136713565
redis,153,1.3538624900451288
seaborn,148,1.3096186178214317
gdpr,144,1.274223520042474
datarobot,138,1.2211308733740378
confluence,126,1.1149455800371648
django,125,1.1060968055924254
golang,124,1.097248031147686
neo4j,121,1.0707017078134677
sap,104,0.920272542252898
slack,104,0.920272542252898
cassandra,96,0.8494823466949828
unix,91,0.8052384744712857
html,87,0.7698433766923282
sql server,85,0.7521458278028493
ansible,84,0.7432970533581099
mxnet,83,0.7344482789133705
dynamodb,83,0.7344482789133705
bitbucket,81,0.7167507300238917
vmware,80,0.7079019555791523
zoom,77,0.6813556322449341
rust,75,0.6636580833554553
express,74,0.6548093089107159
css,71,0.6282629855764976
spring,70,0.6194142111317582
kotlin,69,0.6105654366870189
node.js,65,0.5751703389080612
plotly,63,0.5574727900185824
angular,61,0.5397752411291036
powerpoint,56,0.4955313689054066
splunk,53,0.46898504557118836
looker,50,0.44243872223697017
asana,50,0.44243872223697017
atlassian,47,0.415892398902752
qlik,43,0.3804973011237944
unity,41,0.36279975223431554
ubuntu,40,0.3539509777895761
graphql,38,0.33625342890009735
