skill,count,frequency_pct
sql,9402,71.62882827975011
python,6402,48.77342678653055
tableau,5501,41.90918787140028
excel,4291,32.690842602468386
power bi,3690,28.112143836660064
r,2965,22.588755142465335
sas,2028,15.450251409416426
azure,1323,10.079232058509827
looker,1252,9.538320889836966
aws,1251,9.530702422672558
snowflake,1046,7.968916653969221
powerpoint,993,7.565137894255676
word,860,6.551881761389608
sql server,855,6.513789425567576
oracle,798,6.079536797196404
go,782,5.9576413225659
spark,715,5.447204022550663
bigquery,614,4.677738838945604
flow,603,4.593935700137132
sap,560,4.266341612067652
jira,545,4.152064604601554
databricks,541,4.121590735943928
alteryx,536,4.083498400121895
java,497,3.786378180710041
redshift,450,3.4283102239829346
qlik,429,3.268322413530398
hadoop,428,3.2607039463659913
outlook,420,3.199756209050739
vba,413,3.1464269388998933
airflow,356,2.7121743105287215
git,354,2.6969373761999087
gcp,352,2.6817004418710955
pyspark,332,2.529331098582965
dax,324,2.468383361267713
pandas,318,2.4226725582812736
c,303,2.308395550815176
cognos,302,2.3007770836507695
spss,282,2.148407740362639
windows,261,1.9884199299101022
confluence,257,1.957946061252476
ssrs,255,1.942709126923663
microstrategy,253,1.92747219259485
ssis,251,1.912235258266037
t-sql,248,1.8893798567728173
scala,247,1.8817613896084109
nosql,235,1.7903397836355326
sharepoint,224,1.7065366448270607
numpy,223,1.6989181776626543
github,223,1.6989181776626543
javascript,218,1.6608258418406217
mysql,214,1.6303519731829956
gdpr,210,1.5998781045253696
express,158,1.2037178119762304
jupyter,157,1.1960993448118238
sheets,157,1.1960993448118238
postgresql,150,1.1427700746609781
docker,148,1.1275331403321651
matplotlib,141,1.0742038701813195
mongodb,132,1.0056376657016608
linux,125,0.9523083955508151
splunk,121,0.9218345268931891
kubernetes,119,0.906597592564376
visio,117,0.891360658235563
tensorflow,116,0.8837421910711565
scikit-learn,111,0.8456498552491238
phoenix,99,0.7542282492762457
kafka,99,0.7542282492762457
firebase,98,0.7466097821118391
html,98,0.7466097821118391
c#,95,0.7237543806186195
unix,94,0.716135913454213
c++,93,0.7085174462898065
spreadsheet,92,0.7008989791254
ms access,90,0.6856620447965869
pytorch,89,0.6780435776321804
shell,83,0.6323327746457412
matlab,74,0.5637665701660826
gitlab,67,0.5104373000152369
slack,65,0.4952003656864239
atlassian,62,0.4723449641932043
seaborn,60,0.4571080298643913
terminal,60,0.4571080298643913
crystal,56,0.4266341612067652
db2,56,0.4266341612067652
datarobot,54,0.41139722687795216
swift,53,0.40377875971354565
plotly,53,0.40377875971354565
jenkins,52,0.3961602925491391
visual basic,45,0.34283102239829344
react,43,0.3275940880694804
unity,43,0.3275940880694804
spring,43,0.3275940880694804
css,41,0.31235715374066736
zoom,39,0.29712021941185435
powershell,38,0.28950175224744784
php,38,0.28950175224744784
cassandra,35,0.26664635075422827
angular,32,0.2437909492610087
aurora,31,0.23617248209660216
perl,29,0.22093554776778912
