skill,count,frequency_pct
sql,20192,70.44130472701902
python,19639,68.51212279783708
aws,12889,44.96424210709925
azure,12189,42.522239665096805
spark,10615,37.03122274550846
java,6622,23.1013431013431
snowflake,6558,22.878074306645736
kafka,6335,22.1001221001221
databricks,6325,22.065236350950638
airflow,6094,21.25937554508983
scala,5753,20.069771498342927
hadoop,4726,16.48700505843363
redshift,4596,16.033490319204606
gcp,4473,15.604395604395604
nosql,4417,15.40903540903541
kubernetes,3411,11.899529042386185
pyspark,3376,11.777428920286063
git,3294,11.491365777080063
docker,3287,11.466945752660038
sql server,3008,10.493633350776207
mysql,2774,9.677306820163963
power bi,2772,9.67032967032967
bigquery,2638,9.20286063143206
tableau,2580,9.000523286237572
terraform,2510,8.756323042037328
mongodb,2436,8.498168498168498
oracle,2403,8.383045525902668
shell,2227,7.769056340484912
postgresql,2079,7.252747252747253
flow,1838,6.4120006977149835
go,1756,6.125937554508983
github,1590,5.54683411826269
jenkins,1495,5.215419501133787
linux,1482,5.170068027210885
ssis,1478,5.156113727542299
cassandra,1390,4.849119134833421
r,1226,4.27699284842142
jira,1188,4.144427001569858
excel,1089,3.7990580847723705
dynamodb,945,3.2967032967032965
pandas,942,3.2862375719518577
t-sql,892,3.1118088260945402
c#,867,3.0245944531658817
looker,842,2.937380080237223
mongo,817,2.8501657073085647
gitlab,807,2.815279958137101
bash,788,2.7489970347113206
javascript,783,2.731554160125589
unix,754,2.630385487528345
elasticsearch,736,2.5675911390197106
sap,706,2.4629338915053203
confluence,668,2.330368044653759
ssrs,635,2.2152450723879293
windows,629,2.1943136228850513
powershell,603,2.1036106750392465
sas,598,2.0861678004535147
ansible,523,1.824524681667539
gdpr,498,1.7373103087388801
redis,490,1.7094017094017093
word,483,1.684981684981685
ruby,470,1.6396302110587826
tensorflow,423,1.4756671899529041
bitbucket,408,1.423338566195709
aurora,406,1.4163614163614164
numpy,404,1.4093842665271237
c++,388,1.3535670678527822
alteryx,386,1.3465899180184895
pytorch,381,1.3291470434327577
golang,359,1.2523983952555382
spring,356,1.2419326705040992
no-sql,351,1.2244897959183674
dax,342,1.1930926216640503
qlik,310,1.0814582243153672
flask,300,1.0465724751439036
c,296,1.0326181754753183
graphql,296,1.0326181754753183
express,288,1.0047095761381475
react,276,0.9628466771323915
typescript,272,0.9488923774638061
django,253,0.8826094540380255
atlassian,244,0.8512122797837084
unity,225,0.7849293563579278
db2,219,0.7639979068550498
jupyter,215,0.7500436071864643
neo4j,213,0.7430664573521716
fastapi,182,0.6349206349206349
perl,180,0.6279434850863422
scikit-learn,180,0.6279434850863422
css,176,0.6139891854177568
node.js,175,0.6105006105006106
html,175,0.6105006105006106
vmware,170,0.5930577359148788
sharepoint,154,0.5372405372405372
splunk,148,0.5163090877376592
kotlin,146,0.5093319379033665
angular,144,0.5023547880690737
microstrategy,137,0.47793476364904935
yarn,123,0.4290947148090005
slack,119,0.41514041514041516
zoom,115,0.40118611547182975
