skill,count,frequency_pct
python,15494,81.41881240147136
sql,11458,60.21019442984761
r,6847,35.98003152916448
aws,5277,27.729900157645822
azure,4103,21.560693641618496
spark,3717,19.53231739358907
tensorflow,3293,17.304256437204415
tableau,3176,16.689437729900156
pytorch,3125,16.421439831844456
sas,2828,14.860746190225958
pandas,2249,11.818181818181818
scikit-learn,2070,10.877561744613768
git,1850,9.721492380451918
gcp,1753,9.211770888071467
hadoop,1700,8.933263268523383
numpy,1631,8.570677877036259
power bi,1625,8.539148712559117
databricks,1625,8.539148712559117
java,1492,7.840252233315817
excel,1375,7.22543352601156
docker,1357,7.130846032580137
snowflake,1301,6.836573830793484
scala,1284,6.7472411981082505
go,1179,6.195480819758276
pyspark,1068,5.612191276931162
keras,1003,5.270625328428797
airflow,976,5.12874408828166
nosql,956,5.023646873357856
kubernetes,932,4.897530215449291
looker,856,4.498160798738834
bigquery,840,4.41408302679979
mongodb,820,4.308985811875985
matplotlib,664,3.48922753547031
c++,657,3.4524435102469786
oracle,639,3.3578560168155542
flow,635,3.3368365738307935
github,632,3.321071991592223
jupyter,574,3.01629006831319
matlab,567,2.979506043089858
linux,510,2.6799789805570153
kafka,504,2.6484498160798737
redshift,500,2.627430373095113
javascript,498,2.6169206516027326
jira,480,2.5223331581713087
sql server,464,2.4382553862322647
c,376,1.975827640567525
nltk,343,1.8024172359432475
gitlab,339,1.7813977929584865
mysql,325,1.7078297425118234
word,319,1.676300578034682
spss,312,1.6395165528113504
plotly,310,1.62900683131897
powerpoint,299,1.5712033631108775
c#,295,1.5501839201261167
flask,279,1.466106148187073
sap,269,1.4135575407251708
qlik,266,1.3977929584866
postgresql,266,1.3977929584866
seaborn,261,1.371518654755649
express,244,1.282186022070415
bash,234,1.229637414608513
confluence,230,1.208617971623752
gdpr,222,1.1665790856542302
windows,220,1.1560693641618498
shell,213,1.1192853389385182
alteryx,200,1.0509721492380453
elasticsearch,196,1.0299527062532843
hugging face,193,1.0141881240147137
jenkins,160,0.8407777193904361
atlassian,157,0.8250131371518655
ssis,146,0.767209668943773
terraform,146,0.767209668943773
html,141,0.7409353652128219
dax,132,0.6936416184971098
css,127,0.6673673147661587
vba,125,0.6568575932737782
slack,124,0.651602732527588
neo4j,121,0.6358381502890174
react,120,0.6305832895428272
opencv,118,0.6200735680504467
phoenix,116,0.6095638465580662
outlook,115,0.604308985811876
fastapi,114,0.5990541250656858
mxnet,104,0.5465055176037835
splunk,104,0.5465055176037835
unix,102,0.535995796111403
julia,100,0.5254860746190226
ruby,100,0.5254860746190226
microstrategy,99,0.5202312138728323
ggplot2,98,0.5149763531266421
dynamodb,95,0.49921177088807145
cognos,95,0.49921177088807145
cassandra,94,0.49395691014188126
perl,93,0.488702049395691
django,91,0.47819232790331057
bitbucket,72,0.3783499737256963
unify,69,0.3625853914871256
spring,68,0.35733053074093535
zoom,67,0.35207566999474516
redis,66,0.3468208092485549
