skill,count,frequency_pct
python,8737,43.7857071263907
sql,6839,34.27382980855969
aws,5992,30.029066853763656
java,5314,26.63125187932244
azure,4326,21.679863686478903
kubernetes,3568,17.881126591159667
docker,3422,17.149443720557283
javascript,2755,13.806755537736795
linux,2639,13.225418462463667
git,2500,12.528816277438107
go,2303,11.541545554775984
spark,2222,11.13561190738699
react,2131,10.679562994888244
kafka,2105,10.549263305602887
gcp,1994,9.992983862884635
mongodb,1876,9.401623734589556
c++,1724,8.639871704921319
terraform,1605,8.043500050115265
excel,1585,7.94326951989576
typescript,1515,7.592462664127493
postgresql,1458,7.306805653001905
jenkins,1450,7.266713440914103
nosql,1421,7.12137917209582
c#,1382,6.925929638167786
windows,1325,6.640272627042197
github,1308,6.555076676355618
scala,1302,6.525007517289766
oracle,1210,6.063947078280044
power bi,1154,5.78330159366543
ruby,1130,5.663024957402024
tableau,1129,5.6580134308910495
snowflake,1122,5.622932745314222
hadoop,1111,5.567805953693495
mysql,1095,5.487621529517891
jira,1086,5.442517790919114
airflow,1067,5.347298787210584
css,984,4.931342086799639
spring,964,4.831111556580134
databricks,922,4.620627443119174
angular,913,4.575523704520397
sql server,899,4.505362333366744
c,895,4.485316227322842
html,889,4.455247068256991
flow,849,4.254786007817981
r,779,3.9039791520497142
redis,778,3.898967625538739
ansible,771,3.8638869399619122
node.js,738,3.6985065650997293
elasticsearch,734,3.6784604590558283
shell,733,3.673448932544853
golang,731,3.6634258795229027
gitlab,653,3.272526811666834
bash,652,3.2675152851558584
bigquery,602,3.016938959607096
confluence,599,3.0019043800741705
tensorflow,591,2.9618121679863685
redshift,572,2.866593164277839
sap,541,2.7112358424376066
unix,539,2.701212789415656
pytorch,506,2.535832414553473
node,487,2.4406134108449433
php,483,2.4205673048010423
graphql,482,2.415555778290067
sas,468,2.3453944071364137
dynamodb,468,2.3453944071364137
kotlin,429,2.1499448732083795
django,414,2.074771975543751
pandas,410,2.05472586949985
powershell,404,2.024656710433998
word,399,1.999599077879122
cassandra,394,1.9745414453242458
rust,386,1.9344492332364438
splunk,376,1.8843339681266913
pyspark,371,1.8592763355718152
flask,343,1.7189535932645084
looker,331,1.6588152751328054
selenium,324,1.6237345895559787
express,289,1.4483311616718453
slack,286,1.4332965821389194
vmware,274,1.3731582640072166
swift,273,1.3681467374962413
vue,270,1.3531121579633156
bitbucket,254,1.2729277337877118
numpy,248,1.2428585747218603
powerpoint,239,1.1977548361230832
gdpr,235,1.1777087300791822
fastapi,230,1.1526510975243058
outlook,230,1.1526510975243058
ubuntu,223,1.1175704119474792
matlab,214,1.072466673348702
ruby on rails,200,1.0023053021950485
chef,195,0.9772476696401724
ssis,191,0.9572015635962714
jupyter,187,0.9371554575523704
perl,176,0.8820286659316428
puppet,174,0.8720056129096923
scikit-learn,170,0.8519595068657914
zoom,165,0.8269018743109151
db2,162,0.8118672947779894
asp.net,156,0.781798135712138
