skill,count,frequency_pct
python,244416,59.61002377903787
sql,240179,58.57667215413694
aws,100386,24.482897384305836
azure,93849,22.888604353393085
tableau,73560,17.940369489665265
spark,71979,17.55478324492409
r,71835,17.519663435156392
excel,71807,17.512834583257117
power bi,66183,16.141210901774283
java,51294,12.509968904335102
databricks,42650,10.40180476800195
snowflake,40645,9.912810194500336
sas,39080,9.531126150844461
hadoop,37486,9.14236936772148
gcp,36198,8.828242180354856
scala,35171,8.577769648192183
airflow,33782,8.239009816474605
kafka,31298,7.63319309798183
git,30445,7.425157002621791
nosql,28690,6.997134321077983
docker,27662,6.7464179013474785
oracle,25033,6.105237485519176
kubernetes,24419,5.955490518870801
tensorflow,24295,5.925248460459728
sql server,24051,5.865739893908908
pyspark,23695,5.7789159197609905
redshift,23611,5.758429364063167
go,22694,5.5347844643619295
flow,21480,5.238704957014816
pytorch,21468,5.235778306200841
mongodb,21422,5.224559478080605
pandas,20259,4.940918236692885
bigquery,18286,4.459728065361868
linux,16798,4.096823364428999
mysql,15957,3.891713919882934
word,15609,3.806841046277666
scikit-learn,14963,3.6492896774586914
postgresql,14609,3.562953478446436
sap,14553,3.5492957746478875
github,14477,3.530760319492714
terraform,14309,3.4897872080970673
looker,14033,3.422474239375648
powerpoint,13952,3.402719346381318
javascript,13924,3.395890494482044
jira,13745,3.3522346198402535
numpy,12711,3.100054874702762
jenkins,11832,2.885677702579111
shell,11534,2.8129992073654044
c++,11259,2.7459301262118165
ssis,10190,2.485214316200232
c#,8611,2.10011584659472
c,8482,2.068654350344491
qlik,8410,2.0510944454606426
windows,7503,1.8298884214377171
cassandra,7188,1.7530638375708798
keras,7032,1.7150173769892079
vba,6619,1.61429181147491
unix,6570,1.6023413206511798
confluence,6534,1.5935613682092555
alteryx,6504,1.5862447411743186
bash,6323,1.542101091396866
dax,6191,1.5099079324431437
gitlab,6166,1.5038107432473629
matlab,6101,1.487958051338333
matplotlib,5852,1.4272300469483568
spss,5485,1.3377233095542955
jupyter,5405,1.318212304127797
react,5381,1.3123590024998475
elasticsearch,5379,1.311871227364185
gdpr,5373,1.3104079019571977
t-sql,5176,1.2623620510944455
outlook,5175,1.2621181635266143
ssrs,4981,1.2148039753673556
spring,4673,1.1396866044753369
dynamodb,4581,1.1172489482348638
ruby,4468,1.0896896530699347
express,4416,1.0770074995427108
sharepoint,4328,1.0555453935735626
html,4298,1.0482287665386256
ansible,4253,1.0372538259862203
powershell,4139,1.0094506432534602
redis,3358,0.8189744527772697
typescript,3291,0.8026339857325773
css,3266,0.7965367965367965
sheets,3251,0.7928784830193281
cognos,2980,0.7267849521370648
mongo,2952,0.7199561002377903
flask,2848,0.6945917931833425
bitbucket,2826,0.6892262666910555
angular,2694,0.6570331077373331
db2,2673,0.6519114688128773
golang,2647,0.6455703920492653
seaborn,2625,0.6402048655569782
splunk,2578,0.6287421498689104
microstrategy,2566,0.6258154990549357
visio,2539,0.6192305347234924
plotly,2305,0.5621608438509847
django,2283,0.5567953173586977
php,2214,0.5399670751783427
node.js,2189,0.533869885982562
perl,2161,0.5270410340832876
aurora,2004,0.4887506859337845
chef,1975,0.4816779464666789
graphql,1920,0.4682641302359612
neo4j,1890,0.46094750320102434
spreadsheet,1754,0.42777879397597707
nltk,1682,0.4102188890921285
atlassian,1676,0.40875556368514115
fastapi,1672,0.40778001341381626
slack,1651,0.4026583744893604
no-sql,1621,0.3953417474544235
unity,1582,0.38583013230900554
swift,1525,0.37192854094262545
vue,1380,0.33656484360709715
phoenix,1368,0.33363819279312235
vmware,1356,0.3307115419791476
hugging face,1343,0.3275410035973416
julia,1309,0.3192488262910798
zoom,1285,0.3133955246631303
rust,1261,0.3075422230351808
selenium,1213,0.29583561977928174
visual basic,1196,0.29168953112615087
ms access,1194,0.29120175599048836
kotlin,1184,0.28876288031217606
crystal,1116,0.27217852569965245
node,1104,0.2692518748856777
firebase,1086,0.26486189866471554
yarn,1067,0.2602280348759222
assembly,969,0.23632705322846168
terminal,918,0.22388878726906897
opencv,915,0.22315712456557527
ibm cloud,866,0.211206633741845
puppet,825,0.2012072434607646
unify,781,0.19047619047619047
ggplot2,760,0.18535455155173464
ubuntu,738,0.17998902505944758
notion,734,0.17901347478812268
svn,682,0.16633132126089872
mariadb,666,0.16242912017559905
jquery,641,0.1563319309798183
groovy,606,0.14779586610572526
microsoft teams,574,0.1399914639351259
planner,487,0.11877324553380891
asana,475,0.11584659471983416
mxnet,475,0.11584659471983416
ruby on rails,473,0.1153588195841717
asp.net,469,0.11438326931284677
datarobot,452,0.11023718065971587
smartsheet,426,0.1038961038961039
watson,398,0.09706725199682946
redhat,397,0.09682336442899823
react.js,385,0.09389671361502347
vue.js,372,0.0907261752332175
macos,371,0.09048228766538625
trello,366,0.0892628498262301
tidyverse,363,0.08853118712273642
dplyr,339,0.0826778854947869
flutter,333,0.08121456008779952
openstack,295,0.07194683251021279
couchbase,295,0.07194683251021279
arch,288,0.07023961953539418
firestore,276,0.06731296872141943
rshiny,269,0.06560575574660081
symphony,257,0.06267910493262606
elixir,251,0.06121577952563868
centos,250,0.06097189195780745
theano,248,0.06048411682214499
monday.com,243,0.059264678982988844
pulumi,242,0.05902079141515761
wire,241,0.05877690384732638
colocation,234,0.057069690872507774
solidity,229,0.05585025303335162
cobol,208,0.0507286141088958
twilio,202,0.04926528870190842
npm,197,0.04804585086275227
vb.net,192,0.04682641302359612
sqlite,190,0.04633863788793366
unreal,181,0.044143649777452595
dart,180,0.043899762209621364
digitalocean,168,0.040973111395646605
next.js,159,0.03877812328516554
symfony,153,0.03731479787817816
airtable,148,0.03609536003902201
sass,138,0.03365648436070971
debian,132,0.03219315895372234
laravel,124,0.030242058411072494
clickup,120,0.029266508139747575
asp.net core,119,0.029022620571916347
webex,119,0.029022620571916347
codecommit,115,0.028047070300591427
electron,104,0.0253643070544479
fortran,100,0.02438875678312298
couchdb,99,0.02414486921529175
clojure,91,0.022193768672641914
angular.js,91,0.022193768672641914
heroku,84,0.020486555697823303
ovh,73,0.017803792451679776
lua,70,0.017072129748186088
drupal,67,0.016340467044692396
suse,65,0.015852691909029937
svelte,62,0.015121029205536247
mlr,62,0.015121029205536247
haskell,57,0.0139015913663801
qt,57,0.0139015913663801
ionic,56,0.01365770379854887
ringcentral,53,0.01292604109505518
apl,51,0.01243826595939272
objective-c,51,0.01243826595939272
blazor,48,0.01170660325589903
cordova,43,0.010487165416742881
workfront,42,0.010243277848911651
delphi,41,0.009999390281080421
erlang,41,0.009999390281080421
f#,37,0.009023840009755502
wrike,36,0.008779952441924272
powerbi,36,0.008779952441924272
nuix,35,0.008536064874093044
pascal,33,0.008048289738430584
xamarin,31,0.0075605146027681236
play framework,26,0.006341076763611975
ocaml,25,0.006097189195780745
tidyr,25,0.006097189195780745
fedora,22,0.0053655264922870555
wsl,22,0.0053655264922870555
lisp,20,0.004877751356624596
dlib,17,0.004146088653130907
gatsby,16,0.0039022010852996767
nuxt.js,14,0.0034144259496372174
kali,13,0.0031705383818059875
mattermost,13,0.0031705383818059875
sqlserver,12,0.0029266508139747576
fastify,10,0.002438875678312298
ember.js,10,0.002438875678312298
homebrew,8,0.0019511005426498384
linode,8,0.0019511005426498384
dingtalk,7,0.0017072129748186087
capacitor,6,0.0014633254069873788
shogun,6,0.0014633254069873788
google chat,5,0.001219437839156149
microsoft lists,5,0.001219437839156149
huggingface,2,0.0004877751356624596
workzone,2,0.0004877751356624596
chainer,2,0.0004877751356624596
deno,1,0.0002438875678312298
esquisse,1,0.0002438875678312298
fann,1,0.0002438875678312298
swit,1,0.0002438875678312298
gtx,1,0.0002438875678312298
